asset,category,observations,period_return_pct,listing_change_pct,listing_first,listing_last,price_first,price_last,realized_vol_daily_pct,observed_range_pct,price_transitions,listing_transitions,listing_activity_pct,price_activity_pct,sales_transitions,sales_24h_first,sales_24h_last,sales_24h_max,spearman_qty_minprice_6h,spearman_qty_medprice_6h,median_price_pct_change
★ Shadow Daggers | Black Laminate (Battle-Scarred),knives,2015,-1.4904187366927002,25.0,4,5,42.27,41.64,0.31058878563563536,1.5129682997118217,5,1,0.04967709885742673,0.24838549428713363,2,0,0,1,0.08781488529537093,-0.42529635428705465,-22.491856677524424
★ Skeleton Knife | Tiger Tooth (Factory New),knives,2015,0.159121400268325,-16.949152542372882,59,49,320.51,321.02,8.860618946557066,9.372128637059712,66,67,3.3283656234475907,3.278688524590164,3,4,6,6,-0.37664567270033433,-0.6296292924341981,0.43647870802303046
★ Specialist Gloves | Fade (Minimal Wear),gloves,2015,-0.3724105826673818,-23.076923076923077,13,10,515.56,513.64,2.9964711930063026,5.606012532719914,11,11,0.546448087431694,0.546448087431694,6,0,0,2,-0.19977550792191973,-0.6135558300762923,14.704453441295552
★ Sport Gloves | Bronze Morph (Field-Tested),gloves,2015,-9.756676557863496,3.9603960396039604,101,105,84.25,76.03,7.581107819617812,12.86334341707221,29,30,1.4903129657228018,1.4406358668653751,7,2,1,4,-0.5034847416299022,-0.7759865206233272,-2.1481160675617184
★ Sport Gloves | Pandora's Box (Field-Tested),gloves,2015,-9.230598875177687,0.0,10,10,3883.28,3524.83,7.587717791987463,19.09782922056813,25,8,0.39741679085941384,1.241927471435668,4,0,0,1,-0.3097805517356628,-0.6395111445396608,-0.44507966174678587
★ Sport Gloves | Vice (Factory New),gloves,2015,-1.9999600247846194,-50.0,2,1,7504.65,7354.56,9.711903151233628,23.07163742929815,8,1,0.04967709885742673,0.39741679085941384,0,0,0,0,-0.0824444041574049,-0.0824444041574049,-1.9999600247846234
★ Sport Gloves | Vice (Field-Tested),gloves,2015,4.757952298415646,-6.0606060606060606,66,62,409.63,429.12,8.868167333160798,15.01622355811555,42,82,4.0735221063089915,2.0864381520119224,6,4,1,8,-0.3541665462051734,-0.5658491716211623,-2.488875920927866
★ StatTrak™ Navaja Knife | Blue Steel (Factory New),knives,2015,-1.1061521254012163,0.0,1,1,18399.82,18196.29,0.25424564362679947,1.1185247102568645,11,0,0.0,0.546448087431694,0,0,0,0,,,-1.1061521254012205
★ Survival Knife,knives,2015,5.500381970970203,-12.0,75,66,52.36,55.24,19.5523257583427,18.03487877498936,76,62,3.079980129160457,3.775459513164431,6,4,5,6,-0.6975186741762835,-0.1224373612340642,-0.8306188925081401
★ Talon Knife | Tiger Tooth (Factory New),knives,2015,-1.1076049895169304,14.705882352941176,34,39,472.19,466.96,7.265677209705531,10.881890839538212,51,68,3.3780427223050173,2.5335320417287632,7,4,4,5,-0.4730504525219634,-0.914043077430332,-3.9124376650044055
