asset,category,observations,coverage_pct,window_gaps,min_price_first,min_price_last,min_price_low,min_price_high,min_price_abs_change,min_price_pct_change,min_price_transitions,min_price_pct_adjacent_changed,min_price_distinct_states,median_price_first,median_price_last,median_price_pct_change,median_price_transitions,quantity_first,quantity_last,quantity_low,quantity_high,quantity_abs_change,quantity_pct_change,quantity_transitions,quantity_pct_adjacent_changed,quantity_distinct_states,sales_24h_first,sales_24h_last,sales_24h_min,sales_24h_max,sales_24h_abs_change,sales_24h_transitions,sales_24h_distinct_states,history_state_transitions,history_state_distinct,distinct_market_states,realized_vol_daily_pct,observed_range_pct,position_in_range_pct,contraction_frequency_pct,expansion_frequency_pct,listing_volatility_5m,price_return_1h,price_return_6h,price_return_24h,price_return_period,listing_change_1h,listing_change_6h,listing_change_24h,listing_change_period,freshness_median_s,freshness_p95_s,freshness_max_s,freshness_over_10m
SSG 08 | Acid Fade (Factory New),weapons,2015,99.9504,1,0.74,0.71,0.61,0.74,-0.030000000000000027,-4.054054054054058,22,1.092896174863388,9,2.25,2.17,-3.555555555555559,7,3177,3139,3139,3181,-38,-1.196096946805162,101,5.017386984600099,36,7,8,4,16,1,6,6,11,12,90,11.61350286202251,21.311475409836067,76.9230769230769,3.2290114257327374,1.7883755588673622,0.00010999895280250298,0.0,-0.01388888888888895,0.0,-0.04054054054054057,0,-2,-10,-38,302.99,311.8159,904.672,14
Shattered Web Case,cases,2015,99.9504,1,4.24,4.07,3.87,4.47,-0.16999999999999993,-4.009433962264149,45,2.235469448584203,33,7.72,7.68,-0.5181347150259072,9,6984,6807,6807,7056,-177,-2.5343642611683848,50,2.483854942871336,36,8,24,2,24,16,7,7,11,12,84,6.830018883620177,15.503875968992238,33.333333333333385,1.6890213611525087,0.7948335817188277,0.000502886435477277,0.0,-0.007317073170731603,0.012437810945273853,-0.04009433962264153,-5,-221,-226,-177,302.99,311.8159,904.672,14
Souvenir AWP | Dragon Lore (Factory New),weapons,1750,86.8056,1,14163.91,12747.52,12747.52,15253.6,-1416.3899999999994,-9.999992939802635,20,1.1441647597254005,10,14163.91,12747.52,-9.999992939802635,20,1,1,1,1,0,0.0,0,0.0,1,0,0,0,0,0,0,1,0,1,20,10.041841753831656,19.65935334872979,0.0,0.0,0.0,0.0,-0.024988106365045004,-0.16429433051869724,-0.024988106365045004,-0.09999992939802638,0,0,0,0,302.9875,311.77035,904.672,8
Spectrum 2 Case,cases,2015,99.9504,1,2.7,2.69,2.42,2.78,-0.010000000000000231,-0.3703703703703789,93,4.619970193740685,25,3.78,3.7,-2.1164021164021065,25,40929,41920,40817,42314,991,2.4212660949449045,228,11.326378539493293,152,313,187,104,657,-126,7,8,11,12,246,12.454619927066032,14.876033057851235,75.00000000000003,6.756085444610035,4.570293094883259,0.0006485732470376842,0.0,0.042635658914728536,0.07600000000000007,-0.0037037037037037646,-1,38,53,991,302.99,311.8159,904.672,14
StatTrak™ M4A4 | Howl (Factory New),weapons,2015,99.9504,1,16797.19,16343.5,16343.5,16797.19,-453.6899999999987,-2.700987486597453,8,0.39741679085941384,7,16932.63,16570.34,-2.1395967430930742,11,2,2,2,2,0,0.0,0,0.0,1,0,0,0,0,0,0,1,5,6,17,0.7997971460709479,2.7759659803591563,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006493776491796055,-0.027009874865974504,0,0,0,0,302.99,311.8159,904.672,14
Sticker Capsule 2,capsules/stickers,2015,99.9504,1,10.65,10.59,7.52,10.65,-0.0600000000000005,-0.5633802816901455,42,2.0864381520119224,26,25.14,25.15,0.039777247414471,11,1211,1181,1181,1224,-30,-2.477291494632535,28,1.3909587680079483,22,7,8,0,24,1,6,7,12,13,61,24.642380106962545,41.622340425531924,98.08306709265173,0.8445106805762543,0.546448087431694,0.0005792922380589267,0.0,0.0,-0.0009433962264150386,-0.005633802816901401,0,0,0,-30,302.99,311.8159,904.672,14
Sticker | 100 Thieves | 2020 RMR,capsules/stickers,2015,99.9504,1,0.02,0.02,0.02,0.02,0.0,0.0,0,0.0,1,0.04,0.04,0.0,0,3488,3484,3484,3488,-4,-0.11467889908256881,3,0.14903129657228018,4,1,0,0,1,-1,3,2,4,5,12,0.0,0.0,,0.14903129657228018,0.0,1.565101929138384e-05,0.0,0.0,0.0,0.0,0,0,0,-4,302.99,311.8159,904.672,14
Sticker | Bad News Eagles | Paris 2023,capsules/stickers,2015,99.9504,1,0.02,0.02,0.02,0.02,0.0,0.0,0,0.0,1,0.02,0.02,0.0,0,9051,9053,9050,9072,2,0.02209700585570655,8,0.39741679085941384,8,0,0,0,22,0,3,3,5,6,12,0.0,0.0,,0.09935419771485346,0.29806259314456035,7.186749498953053e-05,0.0,0.0,0.0,0.0,0,2,2,2,302.99,311.8159,904.672,14
Sticker | Crown (Foil),capsules/stickers,2015,99.9504,1,505.01,379.4,288.39,505.01,-125.61000000000001,-24.872774796538685,30,1.4903129657228018,28,881.65,653.75,-25.84925991039528,21,15,22,15,22,7,46.666666666666664,13,0.6458022851465475,7,0,2,0,2,2,6,3,12,13,49,23.236625188930493,75.1135614965845,42.01366448158065,0.14903129657228018,0.49677098857426727,0.005181781281386249,0.0,0.0,-0.0006585012511524102,-0.24872774796538688,0,1,2,7,302.99,311.8159,904.672,14
Sticker | Dragon Lore (Foil),capsules/stickers,2015,99.9504,1,8.59,7.24,7.23,8.59,-1.3499999999999996,-15.715948777648425,13,0.6458022851465475,12,12.3,12.2,-0.8130081300813123,4,162,159,158,163,-3,-1.8518518518518519,9,0.44709388971684055,6,0,0,0,2,0,4,3,11,12,25,9.204745333578042,18.810511756569838,0.7352941176470434,0.29806259314456035,0.14903129657228018,0.00041565562828037165,0.0,-0.14823529411764702,-0.14823529411764702,-0.15715948777648425,0,1,1,-3,302.99,311.8159,904.672,14
Sticker | High Heat,capsules/stickers,2015,99.9504,1,0.57,0.47,0.38,0.58,-0.09999999999999998,-17.543859649122805,32,1.5896671634376554,14,1.62,1.61,-0.6172839506172845,7,2133,2111,2080,2168,-22,-1.0314111579934364,43,2.136115250869349,29,7,4,0,50,-3,7,8,10,11,55,45.08838601495291,52.63157894736841,44.99999999999999,1.4406358668653751,0.6954793840039741,0.0011372329489522197,0.0,0.0,0.021739130434782483,-0.17543859649122806,0,-5,-7,-22,302.99,311.8159,904.672,14
Sticker | Howling Dawn,capsules/stickers,2015,99.9504,1,5847.2,5813.85,5811.52,5847.2,-33.349999999999454,-0.5703584621699181,11,0.546448087431694,12,5847.2,5813.85,-0.5703584621699181,11,1,1,1,1,0,0.0,0,0.0,1,0,0,0,0,0,0,1,0,1,17,0.21600981861872717,0.6139529761576898,6.530269058295874,0.0,0.0,0.0,0.0,0.0,-0.0017582145880300493,-0.005703584621699176,0,0,0,0,302.99,311.8159,904.672,14
Sticker | Reason Gaming (Holo) | Katowice 2014,capsules/stickers,2015,99.9504,1,82430.91,81750.57,81750.57,82430.91,-680.3399999999965,-0.8253457349918817,5,0.24838549428713363,6,82430.91,81750.57,-0.8253457349918817,5,1,1,1,1,0,0.0,0,0.0,1,0,0,0,0,0,0,1,0,1,10,0.1799685886314005,0.8322143808905509,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006497259537829869,-0.00825345734991878,0,0,0,0,302.99,311.8159,904.672,14
Sticker | Team Liquid | Paris 2023,capsules/stickers,2015,99.9504,1,0.02,0.02,0.02,0.02,0.0,0.0,0,0.0,1,0.04,0.04,0.0,4,12222,12214,12213,12225,-8,-0.06545573555882835,8,0.39741679085941384,6,1,0,0,1,-1,3,2,4,5,14,0.0,0.0,,0.19870839542970692,0.19870839542970692,2.1266759109839152e-05,0.0,0.0,0.0,0.0,0,0,0,-8,302.99,311.8159,904.672,14
